nid	mid	fields
1497222509193	1474174238449	(your/his) wife (polite)	おくさま
1497222559041	1474174238449	(your/their) child (polite)	おこさん
1497222737335	1474174238449	expression of gratitude	おれい
1497222763507	1474174238449	honorific language	けいご
1497222790008	1474174238449	this way (polite)	こちら
1497222833166	1474174238449	business trip	しゅっちょう
1497222877422	1474174238449	a kind; a sort	しゅるい
1497223202224	1474174238449	personality	せいかく
1497223232972	1474174238449	junior high school student	ちゅうがくせい
1497223258824	1474174238449	where (polite)	どちら
1497223283721	1474174238449	lazy person	なまけもの
1497223316637	1474174238449	worry	なやみ
1497223351259	1474174238449	shy person	はずかしがりや
1497223393815	1474174238449	chat; talk	はなし
1497223419534	1474174238449	department manager	ぶちょう
1497223450481	1474174238449	culture	ぶんか
1497223964900	1474174238449	mistake	まちがい
1497223987298	1474174238449	be on good/close terms; to get along well	なかがいい
1497224024954	1474174238449	serious; sober; diligent	まじめ（な）
1497224062402	1474174238449	honorific expression for いく, くる, and いる	いらっしゃる
1497224141935	1474174238449	to walk/drive (someone) (person を place まで)	おくる
1497224874863	1474174238449	to get angry	おこる
1497224903226	1474174238449	honorific expression for いう	おっしゃる
1497224953660	1474174238449	honorific expression for ねる	おやすみになる
1497224998796	1474174238449	to be decided (~が)	きまる
1497225035160	1474174238449	honorific expression for くれる	くださる
1497225067483	1474174238449	honorific expression for みる	ごらんになる
1497227081309	1474174238449	to get acquainted with (~と)	しりあう
1497227142639	1474174238449	honorific expression for ～ている	～ていらっしゃる
1497227216372	1474174238449	honorific expression for する	なさる
1497227695026	1474174238449	to move (to another place to live) (～に)	ひっこす
1497227755795	1474174238449	honorific expression for たべる and のむ	めしあがる
1497227828395	1474174238449	to call (one's name) (～を); to invite (person を event に)	よぶ
1497227926424	1474174238449	to stop by (～に)	よる
1497227958047	1474174238449	to become late (～に)	おくれる
1497228052604	1474174238449	to sit down (seat に)	かける
1497228084334	1474174238449	to become sunny	はれる
1497228108894	1474174238449	to be popular (in terms of romantic interest) (people に)	もてる
1497228258315	1474174238449	to hold back for the time being; to refrain from	えんりょする
1497228311754	1474174238449	to treat/invite (someone) to a meal (person に meal を)	ごちそうする
1497228383368	1474174238449	to invite someone (to an event / a place) (person を event/place に)	しょうたいする
1497228475029	1474174238449	to watch out; to give warning	ちゅういする
1497228507124	1474174238449	to have a talk	はなしをする
1497228528862	1474174238449	the day before yesterday	おととい
1497228549415	1474174238449	then; therefore	それで
1497228569282	1474174238449	why (=どうして)	なぜ
1497228643356	1474174238449	in fact; originally	ほんとうは
1497228671568	1474174238449	every morning	まいあさ
1497228697305	1474174238449	still	まだ
1497228705718	1474174238449	party of...people	～めいさま
1497228736938	1474174238449	Welcome.	ようこそ
1497228757066	1474174238449	Please give my best regards (to...). (～に)	よろしくおつたえください
1497222509193	1474174238449	(your/his) wife (polite)	おくさま
1497222559041	1474174238449	(your/their) child (polite)	おこさん
1497222737335	1474174238449	expression of gratitude	おれい
1497222763507	1474174238449	honorific language	けいご
1497222790008	1474174238449	this way (polite)	こちら
1497222833166	1474174238449	business trip	しゅっちょう
1497222877422	1474174238449	a kind; a sort	しゅるい
1497223202224	1474174238449	personality	せいかく
1497223232972	1474174238449	junior high school student	ちゅうがくせい
1497223258824	1474174238449	where (polite)	どちら
1497223283721	1474174238449	lazy person	なまけもの
1497223316637	1474174238449	worry	なやみ
1497223351259	1474174238449	shy person	はずかしがりや
1497223393815	1474174238449	chat; talk	はなし
1497223419534	1474174238449	department manager	ぶちょう
1497223450481	1474174238449	culture	ぶんか
1497223964900	1474174238449	mistake	まちがい
1497223987298	1474174238449	be on good/close terms; to get along well	なかがいい
1497224024954	1474174238449	serious; sober; diligent	まじめ（な）
1497224062402	1474174238449	honorific expression for いく, くる, and いる	いらっしゃる
1497224141935	1474174238449	to walk/drive (someone) (person を place まで)	おくる
1497224874863	1474174238449	to get angry	おこる
1497224903226	1474174238449	honorific expression for いう	おっしゃる
1497224953660	1474174238449	honorific expression for ねる	おやすみになる
1497224998796	1474174238449	to be decided (~が)	きまる
1497225035160	1474174238449	honorific expression for くれる	くださる
1497225067483	1474174238449	honorific expression for みる	ごらんになる
1497227081309	1474174238449	to get acquainted with (~と)	しりあう
1497227142639	1474174238449	honorific expression for ～ている	～ていらっしゃる
1497227216372	1474174238449	honorific expression for する	なさる
1497227695026	1474174238449	to move (to another place to live) (～に)	ひっこす
1497227755795	1474174238449	honorific expression for たべる and のむ	めしあがる
1497227828395	1474174238449	to call (one's name) (～を); to invite (person を event に)	よぶ
1497227926424	1474174238449	to stop by (～に)	よる
1497227958047	1474174238449	to become late (～に)	おくれる
1497228052604	1474174238449	to sit down (seat に)	かける
1497228084334	1474174238449	to become sunny	はれる
1497228108894	1474174238449	to be popular (in terms of romantic interest) (people に)	もてる
1497228258315	1474174238449	to hold back for the time being; to refrain from	えんりょする
1497228311754	1474174238449	to treat/invite (someone) to a meal (person に meal を)	ごちそうする
1497228383368	1474174238449	to invite someone (to an event / a place) (person を event/place に)	しょうたいする
1497228475029	1474174238449	to watch out; to give warning	ちゅういする
1497228507124	1474174238449	to have a talk	はなしをする
1497228528862	1474174238449	the day before yesterday	おととい
1497228549415	1474174238449	then; therefore	それで
1497228569282	1474174238449	why (=どうして)	なぜ
1497228643356	1474174238449	in fact; originally	ほんとうは
1497228671568	1474174238449	every morning	まいあさ
1497228697305	1474174238449	still	まだ
1497228705718	1474174238449	party of...people	～めいさま
1497228736938	1474174238449	Welcome.	ようこそ
1497228757066	1474174238449	Please give my best regards (to...). (～に)	よろしくおつたえください
1499224178928	1474174238449	that way (polite)	あちら
1499224239599	1474174238449	animation	アニメ
1499224267121	1474174238449	space alien	宇宙人｜うちゅうじん
1499224290350	1474174238449	sound	音｜おと
1499224309676	1474174238449	rice ball	おにぎり
1499224323153	1474174238449	our person in charge	係の者｜かかりのもの
1499224346926	1474174238449	corner	角｜かど
1499224363328	1474174238449	airport	空港｜くうこう
1499224383011	1474174238449	letter; character	字｜じ
1499224397078	1474174238449	branch office	支店｜してん
1499224417979	1474174238449	hobby; pastime	趣味｜しゅみ
1499224436543	1474174238449	novel	小説｜しょうせつ
1499224458397	1474174238449	traffic light	信号｜しんごう
1499224482680	1474174238449	sneakers	スニーカー
1499224498362	1474174238449	fan	扇子｜せんす
1499224513813	1474174238449	moon	月｜つき
1499224524003	1474174238449	electronic dictionary	電子辞書｜でんしじしょ
1499224562241	1474174238449	Germany	ドイツ
1499224576367	1474174238449	high heels	ハイヒール
1499224604855	1474174238449	...shop	～屋｜～や
1499224620711	1474174238449	heavy; serious (illness)	重い｜おもい
1499224654129	1474174238449	light	軽い｜かるい
1499224667863	1474174238449	extra-modest expression for する	致す｜いたす
